Date,Buy/Sell/Hold,Name,Bank Name
17.06.19,Buy,Keurig Dr Pepper Outperform,BMO Capital Markets
11.07.18,Buy,Keurig Dr Pepper Hold,"Stifel, Nicolaus & Co., Inc."
19.06.18,Buy,Keurig Dr Pepper Hold,"Stifel, Nicolaus & Co., Inc."
19.03.18,Buy,Keurig Dr Pepper Outperform,RBC Capital Markets
14.03.18,Buy,Keurig Dr Pepper Buy,"Stifel, Nicolaus & Co., Inc."
06.02.18,Buy,Keurig Dr Pepper overweight,Barclays Capital
02.02.18,Buy,Keurig Dr Pepper Market Perform,BMO Capital Markets
01.02.18,Buy,Keurig Dr Pepper Buy,Gabelli & Co
01.02.18,Buy,Keurig Dr Pepper Buy,"Stifel, Nicolaus & Co., Inc."
14.12.17,Buy,Keurig Dr Pepper Buy,Deutsche Bank AG
26.10.17,Buy,Keurig Dr Pepper Buy,"Stifel, Nicolaus & Co., Inc."
28.07.17,Hold,Keurig Dr Pepper Neutral,UBS AG
09.06.17,Buy,Keurig Dr Pepper Outperform,BMO Capital Markets
09.01.17,Hold,Keurig Dr Pepper Equal weight,Barclays Capital
28.10.16,Hold,Keurig Dr Pepper Neutral,UBS AG
28.04.16,Hold,Keurig Dr Pepper Neutral,UBS AG
27.10.15,Hold,Keurig Dr Pepper Sector Perform,RBC Capital Markets
23.10.15,Hold,Keurig Dr Pepper Equal weight,Barclays Capital
23.10.15,Hold,Keurig Dr Pepper Neutral,UBS AG
26.03.15,Buy,Keurig Dr Pepper Buy,"Stifel, Nicolaus & Co., Inc."
13.02.15,Hold,Keurig Dr Pepper Hold,Deutsche Bank AG
13.02.15,Hold,Keurig Dr Pepper Hold,Gabelli & Co
01.12.14,Sell,Keurig Dr Pepper Underperform,RBC Capital Markets
25.10.12,Hold,Keurig Dr Pepper neutral,UBS AG
30.07.12,Hold,Keurig Dr Pepper neutral,UBS AG
21.03.12,Hold,Keurig Dr Pepper neutral,UBS AG
16.02.12,Hold,Keurig Dr Pepper neutral,UBS AG
29.07.11,Buy,Keurig Dr Pepper overweight,Barclays Capital
16.05.11,Buy,Keurig Dr Pepper buy,Citigroup Corp.
29.04.11,Hold,Keurig Dr Pepper neutral,Credit Suisse Group
29.04.11,Buy,Keurig Dr Pepper overweight,Barclays Capital
28.03.11,Hold,Keurig Dr Pepper hold,"Stifel, Nicolaus & Co., Inc."
16.02.11,Hold,Keurig Dr Pepper neutral,Credit Suisse Group
14.02.11,Hold,Keurig Dr Pepper neutral,UBS AG
20.09.10,Hold,Keurig Dr Pepper neutral,Credit Suisse Group
04.05.10,Buy,Keurig Dr Pepper kaufen,"Stifel, Nicolaus & Co., Inc."
